date,day_week,special_event,6_week_lun,6_week_din,lun_ly,din_ly,din_2y,pred_lunch,pred_din,lunch_sales,dinner_sales,guest_count_lunch,guest_count_dinner,ppl_res_lun,ppl_res_din,temp_avg
10/2/2018,Tuesday,,58,191,53,150,,60,160,,,41,172,0,18,66
10/3/2018,Wednesday,,70,194,78,169,,60,160,,,72,204,11,35,54
10/4/2018,Thursday,,55,194,69,232,,60,200,,,35,181,0,39,57
10/5/2018,Friday,,71,272,82,326,,75,320,,,74,393,10,85,50
10/6/2018,Saturday,OSU Football Home Game,70,339,106,375,,85,400,,,115,305,25,64,59
10/7/2018,Sunday,,102,263,151,240,,100,250,,,120,278,3,40,51
10/8/2018,Monday,OSU Coaches Drop Off Cater/ Colombus Day,55,199,22,136,,60,160,,,66,118,10,18,59
10/9/2018,Tuesday,,58,191,57,167,,60,160,,,49,163,,,62
10/10/2018,Wednesday,OSU PostGame (Individual Meals) Cater,70,194,41,153,,60,160,,,81,220,22,37,55
10/11/2018,Thursday,,55,194,52,219,,60,200,,,40,227,0,52,55
10/12/2018,Friday,,71,272,80,315,,75,320,,,128,312,115,64,56
10/13/2018,Saturday,,70,339,53,409,,85,375,,,93,426,25,130,58
10/14/2018,Sunday,,102,263,116,297,,100,250,,,125,281,0,80,55
10/15/2018,Monday,OSU Coaches Drop Off Cater,55,199,48,151,,60,160,,,59,130,8,9,57
10/16/2018,Tuesday,Reisha Groups LEO,58,191,76,171,,60,160,,,59,161,0,6,61
10/17/2018,Wednesday,,70,194,69,160,,60,160,,,214,134,10,12,60
10/18/2018,Thursday,,55,194,58,208,,60,200,,,30,183,7,27,57
10/19/2018,Friday,,71,272,97,348,,75,320,,,73,339,6,93,55
10/20/2018,Saturday,OSU Football Home Game/OSU Game Hospitality Cater,70,339,91,331,,85,420,,,277,423,3,85,57
10/21/2018,Sunday,,102,263,120,296,,100,250,,,138,228,14,17,54
10/22/2018,Monday,OSU Coaches Drop Off Cater/ Crescent Valley LEO,55,199,54,144,,60,160,,,49,196,3,25,54
10/23/2018,Tuesday,,58,191,33,170,,60,160,,,74,219,2,8,50
10/24/2018,Wednesday,,70,194,54,226,,60,160,,,56,201,2,31,57
10/25/2018,Thursday,,55,194,61,145,,60,200,,,62,188,11,32,55
10/26/2018,Friday,,71,272,68,367,,75,320,,,81,284,19,105,61
10/27/2018,Saturday,OSU Coaches Drop Off Dinner,70,339,100,407,,85,375,,,126,412,15,178,59
